USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root           232     2          0      0 0                   0 I [mfc/inst_migrat]
root           233     2          0      0 0                   0 I [mfc/butler]
root           234     2          0      0 0                   0 S [irq/358-1a4d0000.MFC-0]
root           235     2          0      0 0                   0 I [mfc_core/meerka]
root           236     2          0      0 0                   0 I [mfc_core/idle]
root           237     2          0      0 0                   0 I [mfc_core/butler]
root           239     2          0      0 0                   0 S [spmic-init]
root           243     2          0      0 0                   0 I [wq_odpm]
root           244     2          0      0 0                   0 I [wq_odpm]
root           245     2          0      0 0                   0 S [decon0_kthread]
root           246     2          0      0 0                   0 S [decon1_kthread]
root           247     2          0      0 0                   0 I [110f0000.drmdp]
root           249     2          0      0 0                   0 S [irq/405-max77779_pmic_irq]
root           250     2          0      0 0                   0 S [irq/411-max77779_pmic_sgpio_irq]
root           253     2          0      0 0                   0 S [irq/408-max77779_charger]
root           254     2          0      0 0                   0 S [wq-tcpm-usb-psy-usb-type]
root           255     2          0      0 0                   0 S [wq-tcpm-usb-psy]
root           256     2          0      0 0                   0 I [max77759-bc12]
root           257     2          0      0 0                   0 S [irq/410-max77779_vimon]
root           258     2          0      0 0                   0 S [wq-tcpm-tcpc]
root           259     2          0      0 0                   0 S [wq-tcpc-dp-notification]
root           260     2          0      0 0                   0 S [wq-bcl-usb]
root           261     2          0      0 0                   0 S [i2c-max77759tcpc]
root           263     2          0      0 0                   0 S [irq/432-i2c-max77759tcpc]
root           267     2          0      0 0                   0 S [irq/407-max77779_fg_irq]
root           268     2          0      0 0                   0 I [bcl_qos_update]
root           269     2          0      0 0                   0 S [irq/437-smpl_warn]
root           270     2          0      0 0                   0 S [irq/438-ocp_gpu]
root           271     2          0      0 0                   0 S [irq/439-vdroop1]
root           272     2          0      0 0                   0 S [irq/412-batoilo]
root           273     2          0      0 0                   0 S [irq/440-batoilo2]
root           274     2          0      0 0                   0 I [google,usbc_por]
root           275     2          0      0 0                   0 I [gpu-dvfs-contro]
root           276     2          0      0 0                   0 I [gpu-dvfs-clockd]
root           277     2          0      0 0                   0 I [free_pages_work]
root           278     2          0      0 0                   0 S [mali_apc_thread]
root           279     2          0      0 0                   0 I [hbm_workq]
root           280     2          0      0 0                   0 S [lhbm_kthread]
root           281     2          0      0 0                   0 S [card0-crtc0]
root           282     2          0      0 0                   0 S [card0-crtc1]
root           283     2          0      0 0                   0 I [st_pstate_work]
root           284     2          0      0 0                   0 I [cp2ap_wakeup_wq]
root           285     2          0      0 0                   0 I [trigger_cp_cras]
root           286     2          0      0 0                   0 I [cpif_tpmon_moni]
root           287     2          0      0 0                   0 I [cpif_tpmon_boos]
root           288     2          0      0 0                   0 S [tbn_aoc_channel]
root           289     2          0      0 0                   0 S [f2fs_ckpt-8:10]
root           290     2          0      0 0                   0 S [f2fs_flush-8:10]
root           291     2          0      0 0                   0 S [f2fs_discard-8:10]
root           292     2          0      0 0                   0 S [f2fs_gc-8:10]
root           295     2          0      0 0                   0 I [kdmflush/254:0]
root           296     2          0      0 0                   0 I [kdmflush/254:1]
root           297     2          0      0 0                   0 I [kdmflush/254:2]
root           298     2          0      0 0                   0 I [kdmflush/254:3]
root           299     2          0      0 0                   0 I [kdmflush/254:4]
root           300     2          0      0 0                   0 I [kdmflush/254:5]
root           301     2          0      0 0                   0 I [kdmflush/254:6]
root           302     2          0      0 0                   0 I [kverityd]
root           303     2          0      0 0                   0 I [ext4-rsv-conver]
root           304     2          0      0 0                   0 I [kdmflush/254:7]
root           305     2          0      0 0                   0 I [kverityd]
root           306     2          0      0 0                   0 I [ext4-rsv-conver]
root           307     2          0      0 0                   0 I [kdmflush/254:8]
root           308     2          0      0 0                   0 I [kverityd]
root           309     2          0      0 0                   0 I [ext4-rsv-conver]
root           310     2          0      0 0                   0 I [kdmflush/254:9]
root           311     2          0      0 0                   0 I [kverityd]
root           313     2          0      0 0                   0 I [ext4-rsv-conver]
root           314     2          0      0 0                   0 I [kdmflush/254:10]
root           315     2          0      0 0                   0 I [kverityd]
